	3D Point 117:LA			3D Point 117:RA		
Frame	x	y	z	x	y	z
139	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
140	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
141	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
142	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
143	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
144	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
145	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
146	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
147	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
148	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
149	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
150	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
151	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
