	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
25	2,441241	156,237000	48,984006	22,155507	134,996545	51,675385	29,599136	102,845752	59,913379	22,236679	82,075165	72,296832	-17,836693	135,358777	46,969791	-26,334616	100,927850	45,991876	-23,127902	78,184802	57,834302	10,092095	89,744257	51,090378	-7,277618	89,372552	50,494284	14,341295	37,495654	44,083606	9,179568	-3,098600	30,480542	-13,167375	39,461603	70,335590	-11,124816	-1,861689	80,954608
26	2,204915	155,957739	50,816986	21,997900	134,677234	53,504327	29,387473	102,575952	62,005835	21,872475	81,971619	74,568768	-18,022522	135,015344	48,804605	-26,405368	100,568109	47,861829	-23,290154	77,673181	59,377026	10,012827	89,437646	52,901898	-7,368922	89,073938	52,384998	14,268643	37,372412	45,152881	9,086217	-2,900069	30,598016	-13,100018	39,151480	71,941498	-11,060914	-1,511567	84,891241
27	1,959872	155,694031	52,644354	21,818040	134,382898	55,317926	29,139514	102,309210	64,050818	21,504456	81,828943	76,744360	-18,238103	134,695825	50,707455	-26,480582	100,229126	49,771292	-23,459038	77,158240	60,952411	9,871313	89,145392	54,788336	-7,503102	88,825330	54,274939	14,199234	37,273196	46,391983	9,056946	-2,634023	30,758380	-12,948650	38,925711	73,757263	-10,978493	-1,210676	88,119153
28	1,701200	155,451575	54,473407	21,618364	134,127173	57,151611	28,826566	102,056836	66,050580	21,141391	81,671130	78,833423	-18,452620	134,406616	52,641803	-26,569034	99,929492	51,735181	-23,652429	76,667896	62,504510	9,715054	88,885187	56,736084	-7,663928	88,609888	56,181488	14,137555	37,223264	47,814557	9,063311	-2,285397	30,926031	-12,867177	38,774011	75,794519	-10,759633	-1,275563	90,342615
29	1,412972	155,247095	56,307800	21,408350	133,923584	58,983826	28,489566	101,853326	67,988867	20,775806	81,511664	80,832471	-18,697299	134,174438	54,610809	-26,647516	99,665424	53,752332	-23,887669	76,256219	64,140277	9,547131	88,658496	58,779822	-7,817173	88,405811	58,156476	14,089862	37,108966	49,244788	9,138863	-1,880508	31,173981	-12,817566	38,706216	78,021552	-10,473389	-1,740582	91,669653
30	1,127022	155,065771	58,126013	21,165823	133,754016	60,835211	28,104581	101,662830	69,841119	20,406236	81,348688	82,744452	-18,951970	133,971570	56,578229	-26,736591	99,440314	55,758258	-24,106947	75,902863	65,830243	9,359530	88,461615	60,892548	-7,996038	88,229419	60,216534	14,018666	37,282007	51,211438	9,278896	-1,364073	31,460208	-12,742260	38,632516	80,343011	-10,241917	-2,402766	92,346161
31	0,819425	154,893713	59,949280	20,897380	133,627686	62,721381	27,716812	101,489099	71,662164	20,041769	81,168567	84,560352	-19,210068	133,795691	58,506689	-26,867670	99,255591	57,814600	-24,325783	75,612274	67,561969	9,137379	88,300171	63,100415	-8,208256	88,084503	62,427960	14,021918	37,232794	52,948145	9,438390	-0,813498	31,840228	-12,708284	38,473337	82,615839	-10,027193	-3,195419	92,586945
32	0,509480	154,764795	61,753009	20,612737	133,520276	64,582159	27,319458	101,342468	73,446466	19,684465	80,970233	86,296094	-19,488596	133,650391	60,390363	-27,026544	99,110590	59,868433	-24,524124	75,367187	69,408081	8,923504	88,177783	65,365674	-8,433691	87,963043	64,701550	14,056393	37,172961	54,716656	9,621388	-0,141144	32,256812	-12,761092	38,264987	84,670496	-9,831002	-3,284252	93,237030
33	0,181115	154,845618	63,565900	20,337781	133,495166	66,448889	26,899713	101,201135	75,159564	19,332713	80,767523	87,949927	-19,805112	133,570105	62,213922	-27,211877	98,979108	61,919067	-24,734535	75,188214	71,300317	8,743311	88,154156	67,706287	-8,622563	88,113599	66,967303	14,026213	37,164362	56,648181	9,844825	0,647427	32,888461	-12,993799	38,426620	86,468915	-9,944586	-3,019813	94,843317
34	-0,152839	154,966907	65,361090	20,098546	133,549451	68,326410	26,446338	101,154565	76,859540	19,008577	80,589886	89,488281	-20,118575	133,574402	63,988300	-27,426535	98,980933	64,051636	-24,943115	75,125360	73,245911	8,581310	88,297937	70,067432	-8,765631	88,482031	69,215210	14,081181	37,152246	58,773010	10,000174	1,597076	33,665826	-13,133966	38,884915	88,679938	-9,908757	-3,348071	95,190485
35	-0,495129	155,170532	67,143951	19,841205	133,754224	70,240662	25,974454	101,239307	78,492303	18,699585	80,483002	90,894934	-20,417120	133,709253	65,732117	-27,630026	99,113544	66,123688	-25,169333	75,233484	75,241455	8,409580	88,517291	72,387213	-8,929694	88,900073	71,404315	14,163380	37,200137	61,243610	10,129629	2,635011	34,687073	-13,019643	39,259650	91,030823	-9,706950	-3,000246	95,209576
36	-0,835723	155,479712	68,926605	19,576971	134,103455	72,136847	25,509431	101,501483	80,078412	18,439960	80,458838	92,167627	-20,685207	133,941821	67,449231	-27,835785	99,342377	68,177234	-25,405417	75,474884	77,286963	8,199972	88,794727	74,610718	-9,165178	89,297540	73,561023	14,294621	37,214487	63,991705	10,217658	3,765838	36,086633	-12,978313	39,431003	92,973273	-9,624274	-3,054768	95,575500
37	-1,159088	155,813721	70,696973	19,307895	134,574097	74,029413	25,043491	101,872717	81,674243	18,182216	80,581329	93,399683	-20,911459	134,241028	69,175385	-28,077176	99,686792	70,193121	-25,727359	75,796039	79,250690	7,936850	89,129468	76,670294	-9,437770	89,667377	75,668988	14,507425	37,187521	67,160236	10,222585	4,917295	37,949478	-12,990935	39,551407	94,616968	-9,568731	-3,054064	95,636951
38	-1,476023	156,164502	72,443494	19,039452	135,102539	75,928723	24,651277	102,335516	83,170288	17,952835	80,783807	94,568286	-21,113420	134,593079	70,920331	-28,342383	100,093506	72,161121	-25,979150	76,269653	81,436700	7,657092	89,446899	78,538538	-9,745554	90,021991	77,731860	14,728133	37,063336	70,537671	10,242359	6,105547	40,054889	-13,096184	39,576413	95,991888	-9,527676	-3,004008	95,627319
39	-1,774384	156,518433	74,188806	18,777173	135,627881	77,782294	24,347119	102,828540	84,627881	17,746400	81,056787	95,754120	-21,299484	134,972705	72,743774	-28,641660	100,488062	74,076868	-26,237958	76,779474	83,653845	7,378763	89,778107	80,268781	-10,038042	90,383264	79,742029	14,908626	36,910556	74,016449	10,240237	7,344652	42,354089	-13,287807	39,489127	97,030896	-9,528072	-3,059195	95,648059
40	-2,054318	156,880542	75,924530	18,536505	136,102625	79,573865	24,124870	103,237061	86,121594	17,552477	81,369379	96,999554	-21,490173	135,333936	74,616168	-28,977457	100,895056	75,995160	-26,497748	77,319800	85,913873	7,152364	90,116248	81,892480	-10,276487	90,718042	81,682672	15,031314	36,880170	77,635699	10,210437	8,615543	44,990506	-13,476111	39,424283	97,886511	-9,541963	-3,051691	95,615723
41	-2,314450	157,240063	77,656836	18,333847	136,498767	81,232465	24,032298	103,621899	87,565558	17,389246	81,680664	98,285120	-21,707230	135,700610	76,569745	-29,329605	101,270135	77,900421	-26,742371	77,828400	88,157019	6,962697	90,429437	83,480957	-10,469117	91,037872	83,505414	15,178709	36,947238	81,311731	10,153160	9,863321	47,940268	-13,628740	39,382117	98,536487	-9,587154	-3,077780	95,613251
