	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
25	2,643283	158,000366	48,479782	22,184488	136,761633	50,858994	29,659348	104,386902	58,034668	22,880078	83,015375	69,655408	-17,805151	137,268579	46,571713	-26,538092	102,882971	45,390704	-23,046214	80,298639	57,490582	10,049830	91,461157	50,119458	-7,339318	91,157025	49,357718	14,077820	38,772519	44,735498	8,953648	-2,266880	32,872586	-14,054082	41,683545	69,759033	-11,393904	-1,486787	70,897345
26	2,454308	157,687854	50,296442	22,070717	136,467981	52,677283	29,568542	104,149365	60,167554	22,587476	82,951056	72,019183	-17,914903	136,913220	48,275040	-26,577216	102,526099	47,071371	-23,171518	79,853680	59,009131	9,935394	91,160083	51,852502	-7,438515	90,842657	51,175754	14,065398	38,703778	45,578616	8,892591	-2,154086	32,900241	-13,877295	41,143918	71,198267	-11,427022	-1,584172	76,377045
27	2,247350	157,373718	52,124573	21,939270	136,133618	54,514270	29,430234	103,876318	62,307202	22,254478	82,880695	74,373474	-18,064777	136,548987	50,030261	-26,630457	102,148401	48,809088	-23,314238	79,361444	60,548792	9,843967	90,870544	53,586841	-7,543642	90,509985	53,044885	14,027361	38,570123	46,453418	8,792995	-2,017343	32,991089	-13,762364	40,637039	72,741968	-11,336508	-1,354500	81,388708
28	2,036090	157,064661	53,947449	21,793628	135,787878	56,345581	29,250543	103,582776	64,380621	21,865472	82,808826	76,731140	-18,223390	136,179700	51,852069	-26,687500	101,751923	50,610434	-23,464059	78,831995	62,068842	9,773667	90,542102	55,385907	-7,607974	90,187842	54,921918	13,964948	38,466684	47,510452	8,700407	-1,843208	33,091428	-13,338057	40,078510	74,195245	-11,207124	-1,015929	85,655627
29	1,801535	156,778381	55,788135	21,632043	135,459143	58,161798	29,044955	103,287622	66,439984	21,524583	82,641565	78,930273	-18,420490	135,825854	53,716998	-26,741855	101,369714	52,481726	-23,623254	78,302252	63,617902	9,669613	90,236633	57,238220	-7,716109	89,907349	56,806122	13,904132	38,325977	48,627066	8,640675	-1,613026	33,202850	-13,208836	39,791733	75,863562	-11,145418	-0,708212	89,303882
30	1,554397	156,512366	57,620782	21,459438	135,161682	59,976984	28,771991	103,017432	68,472467	21,166685	82,470563	81,066467	-18,622046	135,499158	55,633142	-26,813754	101,040198	54,425000	-23,795218	77,783533	65,195123	9,527732	89,934070	59,159137	-7,848784	89,647144	58,703076	13,839459	38,251764	49,978958	8,638874	-1,297759	33,366415	-13,065565	39,586603	77,794678	-10,990703	-0,564120	92,013062
31	1,296351	156,270898	59,442108	21,267474	134,922302	61,812329	28,448737	102,771777	70,423346	20,814476	82,294257	83,108075	-18,846378	135,226367	57,586206	-26,885666	100,738641	56,422681	-24,002901	77,320251	66,772900	9,381615	89,679236	61,136975	-8,001787	89,415057	60,642847	13,796399	38,166830	51,414240	8,680508	-0,948801	33,614221	-13,011130	39,464771	79,936084	-10,701099	-0,875536	93,774957
32	1,019893	156,061621	61,270923	21,044215	134,714502	63,660437	28,103354	102,546838	72,339624	20,460765	82,106226	85,056818	-19,086465	134,988806	59,567157	-26,956290	100,470929	58,433533	-24,229042	76,918085	68,419672	9,204322	89,446405	63,220599	-8,169013	89,200720	62,655048	13,754959	38,063144	52,959595	8,799142	-0,512907	33,883127	-12,922028	39,387195	82,227490	-10,429588	-1,458383	94,737885
33	0,732497	155,873022	63,087366	20,809142	134,552368	65,504620	27,721033	102,362488	74,180890	20,104369	81,924084	86,921802	-19,328999	134,785474	61,507599	-27,058835	100,266821	60,482544	-24,428203	76,581000	70,138220	9,014468	89,239807	65,378662	-8,339519	89,020215	64,782690	13,711510	38,215256	54,969720	8,953467	0,073651	34,198157	-12,861571	39,256903	84,552844	-10,223357	-2,196122	95,158832
34	0,435672	155,687402	64,897308	20,528691	134,417542	67,396759	27,333469	102,184259	75,965228	19,749211	81,719952	88,698328	-19,592882	134,605103	63,432507	-27,192731	100,078534	62,513763	-24,628136	76,297101	71,938934	8,798799	89,081677	67,621881	-8,546707	88,850958	67,047565	13,744713	38,150482	56,722357	9,117684	0,665471	34,581305	-12,841655	39,022943	86,733893	-9,937595	-2,873113	95,369574
35	0,124284	155,643677	66,712195	20,263884	134,323718	69,279449	26,944009	102,012415	77,699945	19,411188	81,495392	90,393866	-19,878049	134,473145	65,279669	-27,363147	99,912244	64,578503	-24,835072	76,056946	73,800409	8,623166	88,961432	69,914520	-8,757262	88,833264	69,326849	13,765550	38,068045	58,540222	9,331606	1,391276	35,098764	-12,964650	38,930972	88,599518	-9,972591	-2,419383	96,720264
36	-0,194617	155,745044	68,514783	20,018700	134,317175	71,122357	26,525302	101,904163	79,416571	19,073663	81,287695	91,999841	-20,190318	134,414429	67,069745	-27,545868	99,820062	66,652051	-25,030312	75,916595	75,710071	8,465761	89,005994	72,286823	-8,905556	89,091846	71,579852	13,785631	38,065063	60,587256	9,515890	2,252340	35,829623	-13,215138	39,286017	90,557007	-10,043299	-2,702970	97,862976
37	-0,531190	155,878992	70,321741	19,777080	134,436694	73,047607	26,055875	101,890070	81,092865	18,772487	81,125958	93,466565	-20,493013	134,476929	68,840625	-27,739816	99,865100	68,768646	-25,212001	75,921179	77,689276	8,320049	89,171765	74,626056	-9,025584	89,482990	73,796893	13,871313	38,051944	62,844580	9,650135	3,225418	36,750278	-13,174487	39,712479	92,952417	-9,861702	-2,631108	97,743512
38	-0,858639	156,128210	72,097235	19,529735	134,691699	74,940143	25,589891	102,050830	82,738477	18,501408	81,033972	94,782507	-20,755902	134,630786	70,563062	-27,943372	100,047070	70,862695	-25,434198	76,065533	79,700281	8,149170	89,409515	76,908197	-9,201607	89,878668	75,965985	13,976381	38,050595	65,444006	9,784958	4,303520	37,927243	-13,063283	39,947809	95,101471	-9,729528	-2,377656	98,070221
39	-1,179265	156,425732	73,872064	19,272539	135,085010	76,853949	25,131195	102,365839	84,285858	18,235930	81,090112	96,062976	-20,990901	134,886658	72,280200	-28,149466	100,315448	72,892755	-25,672067	76,369928	81,793353	7,905318	89,699518	79,063818	-9,458287	90,231647	78,121155	14,159834	38,039880	68,438013	9,840623	5,446840	39,567773	-13,049919	40,060873	96,879144	-9,675614	-2,550008	98,276740
40	-1,494478	156,760986	75,638721	19,014743	135,577954	78,723578	24,721779	102,794397	85,853290	17,994441	81,259473	97,268500	-21,208742	135,210852	74,027795	-28,382510	100,674615	74,898145	-25,991663	76,719592	83,790234	7,648409	90,015759	81,028613	-9,749715	90,579138	80,219080	14,421353	37,933026	71,723639	9,854523	6,582980	41,614047	-13,090973	40,137988	98,401801	-9,607854	-2,432137	98,272455
41	-1,789889	157,099866	77,389008	18,749419	136,096643	80,630939	24,353598	103,233862	87,329230	17,794711	81,467322	98,422876	-21,379826	135,556531	75,811664	-28,657132	101,059399	76,837500	-26,242352	77,207910	86,015875	7,374748	90,323651	82,826373	-10,039680	90,916760	82,262671	14,647258	37,758325	75,146198	9,884841	7,764908	43,795267	-13,239375	40,084024	99,598853	-9,592153	-2,486239	98,287939
42	-2,072922	157,449023	79,131555	18,513940	136,585461	82,457019	24,101772	103,673340	88,851331	17,600960	81,747168	99,633905	-21,567125	135,915894	77,665491	-28,970786	101,442767	78,754211	-26,480322	77,705127	88,261121	7,120734	90,629108	84,522620	-10,290604	91,252985	84,230603	14,794182	37,624631	78,700195	9,888495	9,008756	46,260431	-13,438940	39,997318	100,538068	-9,601071	-2,492439	98,279004
43	-2,332508	157,786523	80,874780	18,301950	137,010596	84,204816	23,967815	104,078943	90,305200	17,428185	82,056531	100,904486	-21,748769	136,257361	79,579608	-29,301376	101,804974	80,652075	-26,713513	78,209259	90,513574	6,930349	90,939978	86,104602	-10,507395	91,554016	86,127026	14,957391	37,598502	82,352356	9,863848	10,250735	49,082806	-13,600031	39,931360	101,284888	-9,625678	-2,503743	98,255133
44	-2,572202	158,115833	82,607941	18,131030	137,355872	85,745142	23,900510	104,421619	91,740094	17,289398	82,358997	102,231842	-21,956392	136,597058	81,559058	-29,661487	102,169818	82,588812	-26,933844	78,689331	92,754572	6,756824	91,260419	87,701172	-10,684102	91,868512	87,918207	15,126263	37,705865	86,050140	9,777885	11,421237	52,209790	-13,737033	39,910651	101,889178	-9,672182	-2,528464	98,251849
