	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
27	2,064970	156,524463	52,456592	21,837611	135,241626	54,980695	29,276712	103,082874	63,244275	21,815871	82,399402	75,701819	-18,174298	135,607275	50,390927	-26,599100	101,167108	49,277338	-23,427045	78,263068	60,769916	9,844759	90,007672	54,178925	-7,541046	89,638397	53,697266	14,061159	37,936343	46,355777	8,842793	-2,353755	31,848038	-13,272499	39,611887	73,087170	-11,180963	-1,246048	85,292535
28	1,827362	156,247668	54,289771	21,671712	134,918323	56,790448	29,042532	102,797803	65,299420	21,468562	82,238934	77,872394	-18,384862	135,277112	52,281250	-26,669824	100,813586	51,181699	-23,565436	77,740710	62,343018	9,725759	89,685919	56,037518	-7,660682	89,370819	55,579297	13,996028	37,804367	47,518546	8,794756	-2,114396	31,995816	-13,123033	39,364249	74,829913	-11,112085	-0,955346	88,742883
29	1,575199	155,990430	56,117963	21,485512	134,662524	58,635895	28,753470	102,539917	67,303961	21,105127	82,074927	79,983881	-18,592673	134,968884	54,208551	-26,734689	100,487469	53,119897	-23,766568	77,229730	63,898962	9,566321	89,414685	57,977893	-7,809644	89,140723	57,483569	13,937904	37,760428	48,919656	8,781547	-1,774909	32,165472	-13,016104	39,170718	76,807684	-10,935538	-0,902031	91,229608
30	1,303588	155,766028	57,948285	21,286975	134,429102	60,450574	28,423386	102,310925	69,242084	20,745284	81,905243	82,011346	-18,820107	134,701917	56,161066	-26,825632	100,207275	55,140057	-23,997444	76,790503	65,502380	9,419315	89,181812	59,988654	-7,957173	88,919977	59,434869	13,888393	37,642917	50,337634	8,850072	-1,409369	32,397531	-12,964160	39,077832	78,990814	-10,629456	-1,312624	92,762933
31	1,015378	155,569495	59,778912	21,055392	134,250208	62,326581	28,052158	102,129150	71,107904	20,385269	81,721082	83,934003	-19,072411	134,490466	58,137665	-26,902362	99,971118	57,158899	-24,220485	76,418781	67,173523	9,230200	88,965753	62,085590	-8,140285	88,724835	61,490918	13,845558	37,601672	51,989258	8,973595	-0,923282	32,676813	-12,876701	39,006329	81,310474	-10,375637	-1,936352	93,557050
32	0,729923	155,388074	61,589746	20,804807	134,096265	64,164929	27,666867	101,924823	72,969922	20,031334	81,544891	85,790155	-19,324738	134,303638	60,077960	-27,012750	99,772217	59,204803	-24,428204	76,097766	68,884161	9,016499	88,783063	64,292450	-8,328421	88,551636	63,653027	13,818686	37,730881	53,966766	9,142596	-0,338080	33,005231	-12,828333	38,872589	83,623682	-10,174690	-2,694543	93,896667
33	0,418498	155,232446	63,401331	20,519276	133,978540	66,057544	27,278040	101,756189	74,732294	19,673961	81,340631	87,530969	-19,595560	134,144775	61,986786	-27,157043	99,597644	61,237079	-24,623994	75,834900	70,714435	8,809505	88,626721	66,549451	-8,549094	88,400885	65,916559	13,848401	37,664319	55,724646	9,310280	0,289103	33,413257	-12,840723	38,629828	85,735181	-9,873640	-3,133531	94,223627
34	0,103741	155,249243	65,211890	20,244383	133,910461	67,913458	26,873141	101,610693	76,471729	19,325117	81,127655	89,217365	-19,894781	134,028894	63,825323	-27,348706	99,457214	63,321295	-24,823607	75,625598	72,593439	8,632645	88,553217	68,862311	-8,745132	88,482751	68,194702	13,845888	37,625348	57,600311	9,531381	1,047888	33,978372	-13,017740	38,667538	87,553418	-10,006815	-2,675435	95,827264
35	-0,228354	155,362598	67,009412	20,006058	133,935559	69,790656	26,440839	101,516602	78,175293	18,994229	80,926093	90,773633	-20,211591	134,009302	65,600458	-27,534052	99,397565	65,399084	-25,038586	75,523816	74,524799	8,480929	88,658063	71,201569	-8,891970	88,784149	70,448572	13,873987	37,627469	59,695398	9,703558	1,926036	34,767889	-13,240994	39,079187	89,637653	-10,035229	-3,064686	96,564838
36	-0,566400	155,529626	68,805927	19,768636	134,089612	71,685962	25,979739	101,581726	79,839636	18,692468	80,806519	92,222150	-20,499083	134,086023	67,343433	-27,733948	99,488495	67,506573	-25,241635	75,575439	76,505670	8,311618	88,845074	73,563330	-9,034047	89,190057	72,653314	13,960068	37,618524	62,035815	9,833418	2,938400	35,731976	-13,142102	39,496606	92,046375	-9,829814	-2,812399	96,458429
37	-0,891660	155,808582	70,587103	19,503062	134,399756	73,592560	25,504665	101,776636	81,452252	18,433005	80,744788	93,523480	-20,772124	134,289563	69,080054	-27,942197	99,697589	69,570551	-25,461497	75,772333	78,541986	8,124099	89,099054	75,815338	-9,228419	89,579828	74,816351	14,087869	37,634555	64,738025	9,946830	4,052534	37,002609	-13,067334	39,679025	94,063562	-9,725330	-2,709667	96,849683
38	-1,221644	156,121802	72,352936	19,243423	134,833301	75,496484	25,031378	102,128552	83,023425	18,161307	80,830634	94,771887	-21,009001	134,572424	70,797021	-28,162238	100,008331	71,599438	-25,712680	76,110535	80,626202	7,880734	89,416077	77,912897	-9,495899	89,951935	76,934070	14,290045	37,632202	67,804828	9,978175	5,203724	38,758124	-13,070047	39,800296	95,784631	-9,671403	-2,817092	96,970123
39	-1,530979	156,468152	74,110144	18,976794	135,344690	77,402002	24,628230	102,555066	84,555328	17,920938	81,025879	95,970758	-21,216415	134,915515	72,549158	-28,407767	100,386267	73,588983	-26,031586	76,497772	82,659729	7,604720	89,741492	79,827411	-9,790273	90,306262	79,020520	14,522845	37,505984	71,152612	9,993626	6,358761	40,849518	-13,135071	39,851947	97,236084	-9,611443	-2,712980	96,958307
40	-1,836615	156,817151	75,863934	18,715083	135,864441	79,280444	24,310347	103,039026	86,009412	17,720940	81,252148	97,127203	-21,389877	135,269141	74,348474	-28,704984	100,781512	75,532434	-26,283255	76,994635	84,880676	7,338516	90,043188	81,585028	-10,083057	90,652478	81,059808	14,730396	37,331122	74,594397	9,998132	7,568606	43,073169	-13,315025	39,782953	98,355621	-9,606125	-2,781034	96,981219
41	-2,111869	157,167322	77,601740	18,478903	136,340332	81,078339	24,075137	103,459326	87,521790	17,530583	81,550488	98,344983	-21,575098	135,626587	76,202515	-29,024823	101,178754	77,432129	-26,532889	77,513177	87,132550	7,086716	90,371747	83,245062	-10,335832	90,985205	83,004779	14,858005	37,252328	78,195691	10,005883	8,830331	45,617499	-13,502791	39,697284	99,237463	-9,618217	-2,774116	96,954541
42	-2,371697	157,516272	79,343835	18,266606	136,757312	82,794727	23,963893	103,855042	88,955420	17,363879	81,864093	99,632629	-21,773308	135,986438	78,142169	-29,356610	101,540625	79,332196	-26,774435	78,019696	89,378235	6,903237	90,675018	84,846625	-10,542204	91,307391	84,876215	15,020164	37,261066	81,847284	9,959417	10,080360	48,498587	-13,660634	39,653882	99,952936	-9,651577	-2,797072	96,940686
43	-2,606866	157,845581	81,068604	18,103616	137,097168	84,289941	23,894051	104,177429	90,416113	17,235493	82,173822	100,969983	-21,977298	136,316956	80,129443	-29,734180	101,906500	81,279297	-26,996066	78,497644	91,618591	6,721292	91,009045	86,438544	-10,711663	91,623346	86,641058	15,170067	37,426816	85,562903	9,853790	11,215361	51,712030	-13,803059	39,631299	100,512872	-9,696590	-2,813474	96,935431
44	-2,820127	158,158423	82,795770	17,972916	137,371167	85,745905	23,900529	104,484021	91,801685	17,157016	82,474176	102,340894	-22,191933	136,650818	82,183820	-30,114786	102,262421	83,266895	-27,206180	78,967651	93,872388	6,565783	91,333862	88,012811	-10,864156	91,922321	88,334607	15,278961	37,752792	89,223840	9,716281	12,162767	55,106415	-13,928578	39,592877	100,963434	-9,714209	-2,825771	96,891211
45	-3,001435	158,445154	84,515259	17,858690	137,619580	87,130597	23,894447	104,738306	93,149268	17,136232	82,752228	103,687354	-22,372940	136,965906	84,276196	-30,497815	102,596130	85,312463	-27,402881	79,405212	96,114600	6,402613	91,642163	89,606714	-11,030017	92,199622	89,972943	15,362744	38,157755	92,860773	9,539668	12,920461	58,590234	-14,045058	39,553610	101,317651	-9,723516	-2,837746	96,844629
46	-3,158997	158,704456	86,236963	17,754120	137,819849	88,427570	23,943736	104,980811	94,445422	17,180508	83,009833	105,025977	-22,521417	137,260107	86,364209	-30,874542	102,939319	87,443842	-27,566260	79,830371	98,383124	6,254025	91,917114	91,159381	-11,187775	92,441412	91,560657	15,426474	38,593402	96,448676	9,350168	13,408189	62,246259	-14,144684	39,542334	101,620917	-9,726868	-2,837495	96,801819
47	-3,283433	158,930347	87,949780	17,666995	138,015796	89,687598	23,993929	105,197144	95,637341	17,296410	83,234845	106,318347	-22,642293	137,536462	88,439111	-31,236658	103,267480	89,643695	-27,709158	80,237543	100,681976	6,102192	92,173706	92,715088	-11,340691	92,646857	93,124646	15,455057	39,078204	99,961011	9,190025	13,575722	66,093018	-14,238394	39,491489	101,863892	-9,737844	-2,839776	96,776001
48	-3,381559	159,134607	89,660748	17,571239	138,188623	90,973047	24,028746	105,372351	96,770502	17,491647	83,421948	107,559192	-22,737849	137,793018	90,487512	-31,561993	103,579041	91,898157	-27,799603	80,640247	103,027100	5,960195	92,410602	94,237286	-11,491867	92,802203	94,664301	15,411644	39,639032	103,401880	9,029310	13,449062	70,115979	-14,331007	39,473575	102,153455	-9,766682	-2,844329	96,761847
49	-3,452645	159,299426	91,360938	17,465285	138,309119	92,234009	24,059767	105,516431	97,837744	17,778880	83,544360	108,785876	-22,820821	138,027173	92,504132	-31,889929	103,877332	94,209973	-27,888528	81,028082	105,400757	5,862470	92,603168	95,667072	-11,582963	92,913275	96,167737	15,310051	40,223520	106,769336	8,864855	13,092168	74,228296	-14,419379	39,449823	102,415295	-9,790752	-2,840054	96,760004
50	-3,529126	159,441455	93,071027	17,365071	138,402441	93,533044	24,083153	105,586597	98,842499	18,130559	83,619226	110,014404	-22,886111	138,231567	94,459454	-32,162506	104,148938	96,550806	-27,939642	81,395959	107,835889	5,758880	92,825946	97,194781	-11,686691	93,006671	97,644824	15,156923	40,801135	110,062341	8,721918	12,474757	78,558893	-14,490068	39,416519	102,625977	-9,800076	-2,828753	96,757764
51	-3,557214	159,526355	94,771375	17,282808	138,433740	94,821167	24,051254	105,656506	99,764215	18,513229	83,653650	111,253760	-22,938361	138,401013	96,377472	-32,401785	104,386829	98,918158	-27,966196	81,732336	110,284631	5,670757	92,943634	98,682568	-11,761313	93,056940	99,120819	14,915331	41,408975	113,264539	8,593397	11,412084	83,148877	-14,546428	39,390048	102,857397	-9,802766	-2,815941	96,750195
52	-3,566170	159,570276	96,453918	17,194136	138,415039	96,102118	24,050206	105,615918	100,842877	18,823883	83,686212	112,452515	-22,982501	138,520239	98,269281	-32,600455	104,598987	101,298694	-27,945786	82,085400	112,830566	5,621817	93,030090	100,073810	-11,815165	93,074493	100,581622	14,626526	41,974597	116,348047	8,484081	10,276206	87,827106	-14,601677	39,333319	103,071973	-9,810867	-2,799176	96,739215
53	-3,563777	159,581946	98,149384	17,107451	138,343042	97,399115	24,090814	105,540308	101,913245	19,202393	83,643860	113,726807	-23,018205	138,610645	100,146887	-32,754141	104,761377	103,671240	-27,943570	82,323450	115,287549	5,574088	93,070959	101,510748	-11,839687	93,017902	102,018610	14,311833	42,475208	119,277466	8,373643	8,936456	92,763550	-14,666269	39,296887	103,354163	-9,819583	-2,783681	96,731659
54	-3,534769	159,531824	99,848883	17,038368	138,226221	98,715033	24,134012	105,424731	103,024719	19,580560	83,562122	115,048718	-23,033331	138,642090	102,018091	-32,881757	104,871423	106,021167	-27,921457	82,518286	117,735132	5,561438	93,084692	102,934741	-11,852137	92,940485	103,452710	13,977544	42,907443	122,021777	8,326206	7,478427	97,891412	-14,719978	39,256561	103,684265	-9,824884	-2,759130	96,729663
55	-3,484736	159,448877	101,537775	16,981624	138,067029	100,048004	24,214616	105,297327	104,136060	19,968942	83,434607	116,354187	-23,037466	138,620105	103,899805	-32,968234	104,945203	108,358337	-27,874188	82,641498	120,151111	5,552409	93,023083	104,404236	-11,857626	92,828180	104,891455	13,633653	43,281216	124,610742	8,301196	5,953717	103,199121	-14,752509	39,201239	104,066809	-9,818468	-2,739699	96,734918
56	-3,416034	159,319507	103,240295	16,942847	137,876526	101,440833	24,295274	105,122266	105,333203	20,346875	83,243549	117,648645	-23,010663	138,531335	105,776343	-33,018170	104,950415	110,658411	-27,812833	82,705969	122,547156	5,549673	92,938684	105,884863	-11,847610	92,665228	106,319849	13,308652	43,536295	126,945435	8,321703	4,498465	108,636462	-14,766689	39,143985	104,515649	-9,802538	-2,713489	96,745172
57	-3,316756	159,157068	104,937109	16,913110	137,649683	102,872510	24,349515	104,910986	106,572717	20,728622	82,984802	118,906555	-22,980202	138,419153	107,671716	-33,023157	104,906128	112,914563	-27,730417	82,710120	124,896960	5,592788	92,804602	107,367725	-11,835730	92,475336	107,800842	12,990292	43,668240	129,031897	8,375291	3,091251	114,210510	-14,775995	39,074777	104,990894	-9,777996	-2,686543	96,760205
58	-3,204358	158,971118	106,654785	16,915529	137,388806	104,379468	24,443213	104,667224	107,902100	21,097176	82,653442	120,095068	-22,927122	138,248840	109,556738	-32,993674	104,806934	115,132227	-27,659064	82,673914	127,219763	5,588120	92,612042	108,848840	-11,814236	92,267480	109,283765	12,681061	43,635236	130,932996	8,808195	2,162972	119,550061	-14,794487	39,029279	105,538721	-9,750269	-2,649821	96,772723
59	-3,076448	158,749011	108,377417	16,932231	137,110815	105,982056	24,548347	104,392529	109,178503	21,450839	82,250500	121,240979	-22,866206	138,060413	111,438953	-32,920886	104,670105	117,312427	-27,578192	82,605695	129,510254	5,610192	92,437146	110,458606	-11,791456	92,088245	110,856335	12,366123	43,456491	132,653333	8,497989	0,672608	125,661536	-14,814073	38,959946	106,150940	-9,717533	-2,607015	96,792175
60	-2,923225	158,508630	110,108105	16,989415	136,816772	107,651733	24,642432	104,108069	110,556873	21,774770	81,792908	122,380298	-22,775377	137,832874	113,295862	-32,815390	104,494971	119,447046	-27,472064	82,495990	131,756348	5,634056	92,200476	112,065442	-11,761815	91,947583	112,547913	12,087611	43,125369	134,187622	8,614832	-0,054375	131,400317	-14,820512	38,887180	106,885498	-9,674093	-2,551229	96,838629
